rater1,rater2,metric,icc,icc_low,icc_high,agree_exact,agree_within1,n
gpt35,recruiter,experience,1.982541115402065e-16,-0.11,0.15,44.0,44.0,50
gpt35,recruiter,problem_solving,2.2204460492503136e-16,-0.28,0.28,0.0,100.0,50
gpt35,recruiter,reliability,1.982541115402065e-16,-0.11,0.15,44.0,44.0,50
gpt35,recruiter,professionalism,-1.2616170734376778e-16,-0.14,0.18,56.00000000000001,56.00000000000001,50
gpt35,recruiter,communication,1.982541115402065e-16,-0.11,0.15,44.0,44.0,50
gpt35,owner,cognitive_ability,-2.4065527990429685e-17,-0.03,0.04,0.0,26.0,50
gpt35,owner,experience,7.2164496600635185e-16,-0.2,0.23,0.0,100.0,50
gpt35,owner,problem_solving,1.5003013846285891e-16,-0.06,0.09,26.0,26.0,50
gpt35,owner,reliability,-2.4065527990429685e-17,-0.03,0.04,0.0,26.0,50
gpt35,owner,professionalism,7.2164496600635185e-16,-0.2,0.23,0.0,100.0,50
gpt35,owner,communication,1.5003013846285891e-16,-0.06,0.09,26.0,26.0,50
llama,recruiter,cognitive_ability,0.0370609087979376,-0.04,0.16,2.0408163265306123,4.081632653061225,49
llama,recruiter,experience,0.037667071688942975,-0.09,0.2,2.0408163265306123,40.816326530612244,49
llama,recruiter,problem_solving,0.05330490405117299,-0.16,0.29,40.816326530612244,51.02040816326531,49
llama,recruiter,reliability,-0.0253164556962028,-0.09,0.07,2.0408163265306123,42.857142857142854,49
llama,recruiter,professionalism,0.0017152658662092644,-0.14,0.19,36.734693877551024,55.10204081632652,49
llama,recruiter,communication,0.005485544848035574,-0.02,0.05,0.0,2.0408163265306123,49
llama,owner,cognitive_ability,0.042926829268292645,-0.05,0.18,4.081632653061225,30.612244897959183,49
llama,owner,experience,0.16174402250351583,-0.07,0.39,26.53061224489796,36.734693877551024,49
llama,owner,problem_solving,0.05602716468590826,-0.06,0.21,8.16326530612245,36.734693877551024,49
llama,owner,reliability,0.005774541802661159,-0.01,0.04,0.0,0.0,49
llama,owner,professionalism,0.0052500690798563295,-0.03,0.06,4.081632653061225,26.53061224489796,49
llama,owner,communication,-0.008041568724483313,-0.03,0.03,0.0,2.0408163265306123,49
recruiter,owner,cognitive_ability,0.09634926608957448,-0.13,0.33,0.0,88.0,50
recruiter,owner,experience,0.09634926608957448,-0.13,0.33,0.0,88.0,50
recruiter,owner,problem_solving,0.05790545125537223,-0.08,0.24,0.0,70.0,50
recruiter,owner,reliability,0.05790545125537223,-0.08,0.24,0.0,70.0,50
recruiter,owner,professionalism,0.05790545125537223,-0.08,0.24,0.0,70.0,50
recruiter,owner,communication,0.11063094209161653,-0.15,0.37,57.99999999999999,57.99999999999999,50
